,0,1,2,3
0,3443,0.090000,-0.360000,9.540000
1,3501,0.080000,-0.330000,9.560000
2,3559,0.070000,-0.340000,9.550000
3,3618,0.090000,-0.390000,9.240000
4,3674,0.110000,-0.330000,9.560000
5,3734,0.090000,-0.340000,9.530000
6,3792,0.080000,-0.330000,9.550000
7,3858,0.080000,-0.350000,9.580000
8,3916,0.110000,-0.370000,9.540000
9,3974,0.080000,-0.340000,9.540000
10,4032,0.090000,-0.330000,9.610000
11,4090,0.090000,-0.360000,9.580000
12,4147,0.110000,-0.350000,9.560000
13,4207,0.090000,-0.320000,9.580000
14,4265,0.070000,-0.350000,9.560000
15,4323,0.090000,-0.340000,9.580000
16,4381,0.100000,-0.350000,9.560000
17,4438,0.090000,-0.320000,9.530000
18,4498,0.080000,-0.340000,9.560000
19,4556,0.100000,-0.370000,9.570000
20,4614,0.100000,-0.330000,9.530000
21,4672,0.100000,-0.330000,9.580000
22,4730,0.070000,-0.340000,9.580000
23,4787,0.100000,-0.340000,9.560000
24,4846,0.110000,-0.340000,9.540000
25,4911,0.090000,-0.330000,9.570000
26,4971,0.090000,-0.340000,9.530000
27,5029,0.090000,-0.340000,9.560000
28,5087,0.080000,-0.330000,9.510000
29,5145,0.080000,-0.340000,9.570000
30,5203,0.070000,-0.340000,9.550000
31,5259,0.100000,-0.350000,9.500000
32,5319,0.100000,-0.340000,9.550000
33,5378,0.080000,-0.340000,9.550000
34,5436,0.080000,-0.340000,9.530000
35,5494,0.090000,-0.340000,9.570000
36,5551,0.080000,-0.340000,9.560000
37,5607,0.090000,-0.350000,9.570000
38,5668,0.070000,-0.340000,9.550000
39,5726,0.090000,-0.330000,9.560000
40,5784,0.100000,-0.350000,9.580000
41,5842,0.100000,-0.340000,9.540000
42,5900,0.080000,-0.340000,9.580000
43,5966,0.100000,-0.350000,9.550000
44,6023,0.090000,-0.340000,9.570000
45,6082,0.080000,-0.340000,9.570000
46,6141,0.080000,-0.330000,9.560000
47,6199,0.090000,-0.350000,9.540000
48,6258,0.100000,-0.340000,9.550000
49,6316,0.090000,-0.350000,9.540000
50,6372,0.100000,-0.350000,9.530000
51,6432,0.080000,-0.340000,9.540000
52,6490,0.090000,-0.340000,9.540000
53,6548,0.100000,-0.350000,9.570000
54,6607,0.070000,-0.330000,9.540000
55,6665,0.090000,-0.350000,9.530000
56,6721,0.100000,-0.340000,9.560000
57,6781,0.090000,-0.340000,9.540000
58,6839,0.090000,-0.330000,9.550000
59,6897,0.090000,-0.340000,9.530000
60,6956,0.110000,-0.340000,9.590000
61,7022,0.090000,-0.340000,9.560000
62,7080,0.100000,-0.350000,9.580000
63,7137,0.080000,-0.340000,9.550000
64,7193,0.080000,-0.340000,9.550000
65,7254,0.080000,-0.340000,9.550000
66,7312,0.090000,-0.340000,9.560000
67,7371,0.080000,-0.340000,9.540000
68,7429,0.080000,-0.340000,9.550000
69,7486,0.090000,-0.330000,9.560000
70,7545,0.070000,-0.350000,9.560000
71,7603,0.090000,-0.340000,9.550000
72,7661,0.080000,-0.340000,9.540000
73,7719,0.090000,-0.340000,9.560000
74,7778,0.090000,-0.340000,9.560000
75,7834,0.100000,-0.340000,9.520000
76,7894,0.100000,-0.340000,9.550000
77,7952,0.100000,-0.340000,9.570000
78,8010,0.100000,-0.340000,9.540000
79,8076,0.090000,-0.340000,9.550000
80,8134,0.090000,-0.340000,9.520000
81,8192,0.090000,-0.350000,9.550000
82,8250,0.100000,-0.360000,9.560000
83,8307,0.080000,-0.350000,9.560000
84,8367,0.100000,-0.350000,9.530000
85,8425,0.090000,-0.340000,9.570000
