timestamp(ms),OrientX,OrientY,OrientZ,GyroX,GyroY,GyroZ,LinearX,LinearY,LinearZ,MagX,MagY,MagZ,AcclX,AcclY,AcclZ,GravityX,GravityY,GravityZ,temperature,
"1678296417,692","326,0625",,,,,,,,,,,,,,,,,,,
"1678296417,694",,"1,25",,,,,,,,,,,,,,,,,,
"1678296417,697",,,"1,6875",,,,,,,,,,,,,,,,,
"1678296417,701",,,,"-0,001091",,,,,,,,,,,,,,,,
"1678296417,704",,,,,"-0,001091",,,,,,,,,,,,,,,
"1678296417,707",,,,,,"-0,001091",,,,,,,,,,,,,,
"1678296417,711",,,,,,,"-0,07",,,,,,,,,,,,,
"1678296417,714",,,,,,,,"-0,08",,,,,,,,,,,,
"1678296417,718",,,,,,,,,"-0,26",,,,,,,,,,,
"1678296417,72",,,,,,,,,,"7,1875",,,,,,,,,,
"1678296417,724",,,,,,,,,,,"-14,75",,,,,,,,,
"1678296417,727",,,,,,,,,,,,"-62,1875",,,,,,,,
"1678296417,73",,,,,,,,,,,,,"0,14",,,,,,,
"1678296417,733",,,,,,,,,,,,,,"-0,37",,,,,,
"1678296417,735",,,,,,,,,,,,,,,"9,53",,,,,
"1678296417,739",,,,,,,,,,,,,,,,"0,21",,,,
"1678296417,743",,,,,,,,,,,,,,,,,"-0,29",,,
"1678296417,746",,,,,,,,,,,,,,,,,,"9,79",,
"1678296417,749",,,,,,,,,,,,,,,,,,,"23",
"1678296417,775","326,0625",,,,,,,,,,,,,,,,,,,
"1678296417,779",,"1,25",,,,,,,,,,,,,,,,,,
"1678296417,782",,,"1,6875",,,,,,,,,,,,,,,,,
"1678296417,785",,,,"-0,001091",,,,,,,,,,,,,,,,
"1678296417,787",,,,,"0",,,,,,,,,,,,,,,
"1678296417,79",,,,,,"0,002182",,,,,,,,,,,,,,
"1678296417,793",,,,,,,"-0,08",,,,,,,,,,,,,
"1678296417,797",,,,,,,,"-0,06",,,,,,,,,,,,
"1678296417,801",,,,,,,,,"-0,28",,,,,,,,,,,
"1678296417,803",,,,,,,,,,"6,75",,,,,,,,,,
"1678296417,806",,,,,,,,,,,"-14,75",,,,,,,,,
"1678296417,809",,,,,,,,,,,,"-61,0625",,,,,,,,
"1678296417,812",,,,,,,,,,,,,"0,12",,,,,,,
"1678296417,815",,,,,,,,,,,,,,"-0,35",,,,,,
"1678296417,818",,,,,,,,,,,,,,,"9,51",,,,,
"1678296417,821",,,,,,,,,,,,,,,,"0,21",,,,
"1678296417,825",,,,,,,,,,,,,,,,,"-0,29",,,
"1678296417,828",,,,,,,,,,,,,,,,,,"9,79",,
"1678296417,833",,,,,,,,,,,,,,,,,,,"23",
"1678296417,857","326,0625",,,,,,,,,,,,,,,,,,,
"1678296417,862",,"1,25",,,,,,,,,,,,,,,,,,
"1678296417,864",,,"1,6875",,,,,,,,,,,,,,,,,
"1678296417,867",,,,"0",,,,,,,,,,,,,,,,
"1678296417,87",,,,,"0,002182",,,,,,,,,,,,,,,
"1678296417,874",,,,,,"-0,003272",,,,,,,,,,,,,,
"1678296417,877",,,,,,,"-0,05",,,,,,,,,,,,,
"1678296417,881",,,,,,,,"-0,06",,,,,,,,,,,,
"1678296417,884",,,,,,,,,"-0,26",,,,,,,,,,,
"1678296417,887",,,,,,,,,,"7,875",,,,,,,,,,
"1678296417,89",,,,,,,,,,,"-15,1875",,,,,,,,,
"1678296417,893",,,,,,,,,,,,"-61,875",,,,,,,,
"1678296417,896",,,,,,,,,,,,,"0,16",,,,,,,
"1678296417,899",,,,,,,,,,,,,,"-0,34",,,,,,
"1678296417,902",,,,,,,,,,,,,,,"9,54",,,,,
"1678296417,905",,,,,,,,,,,,,,,,"0,21",,,,
"1678296417,909",,,,,,,,,,,,,,,,,"-0,29",,,
"1678296417,912",,,,,,,,,,,,,,,,,,"9,79",,
"1678296417,916",,,,,,,,,,,,,,,,,,,"23",
"1678296417,948","326,0625",,,,,,,,,,,,,,,,,,,
"1678296417,951",,"1,25",,,,,,,,,,,,,,,,,,
"1678296417,954",,,"1,6875",,,,,,,,,,,,,,,,,
"1678296417,957",,,,"-0,001091",,,,,,,,,,,,,,,,
"1678296417,96",,,,,"0,001091",,,,,,,,,,,,,,,
"1678296417,963",,,,,,"0,001091",,,,,,,,,,,,,,
"1678296417,966",,,,,,,"-0,07",,,,,,,,,,,,,
"1678296417,97",,,,,,,,"-0,07",,,,,,,,,,,,
"1678296417,973",,,,,,,,,"-0,26",,,,,,,,,,,
"1678296417,977",,,,,,,,,,"7,1875",,,,,,,,,,
"1678296417,98",,,,,,,,,,,"-15,5625",,,,,,,,,
"1678296417,982",,,,,,,,,,,,"-61,75",,,,,,,,
"1678296417,985",,,,,,,,,,,,,"0,14",,,,,,,
"1678296417,988",,,,,,,,,,,,,,"-0,37",,,,,,
"1678296417,992",,,,,,,,,,,,,,,"9,52",,,,,
"1678296417,996",,,,,,,,,,,,,,,,"0,21",,,,
"1678296417,999",,,,,,,,,,,,,,,,,"-0,29",,,
"1678296418,003",,,,,,,,,,,,,,,,,,"9,79",,
"1678296418,006",,,,,,,,,,,,,,,,,,,"23",
"1678296418,03","326,0625",,,,,,,,,,,,,,,,,,,
"1678296418,033",,"1,25",,,,,,,,,,,,,,,,,,
"1678296418,036",,,"1,6875",,,,,,,,,,,,,,,,,
"1678296418,039",,,,"-0,002182",,,,,,,,,,,,,,,,
"1678296418,042",,,,,"0,004363",,,,,,,,,,,,,,,
"1678296418,044",,,,,,"0",,,,,,,,,,,,,,
"1678296418,049",,,,,,,"-0,07",,,,,,,,,,,,,
"1678296418,051",,,,,,,,"-0,05",,,,,,,,,,,,
"1678296418,056",,,,,,,,,"-0,23",,,,,,,,,,,
"1678296418,057",,,,,,,,,,"7,1875",,,,,,,,,,
"1678296418,061",,,,,,,,,,,"-14,375",,,,,,,,,
"1678296418,065",,,,,,,,,,,,"-61,5",,,,,,,,
"1678296418,067",,,,,,,,,,,,,"0,13",,,,,,,
"1678296418,071",,,,,,,,,,,,,,"-0,34",,,,,,
