,0,1,2,3
0,2882,0.000000,0.000000,0.000000
1,2999,0.000000,0.000000,0.000000
2,3116,0.000000,0.000000,0.000000
3,3239,0.070000,-0.310000,9.570000
4,3362,0.050000,-0.310000,9.550000
5,3486,0.060000,-0.290000,9.540000
6,3597,0.050000,-0.290000,9.530000
7,3721,0.060000,-0.300000,9.540000
8,3843,0.040000,-0.300000,9.580000
9,3978,0.060000,-0.280000,9.510000
10,4090,0.060000,-0.290000,9.580000
11,4213,0.050000,-0.280000,9.550000
12,4337,0.070000,-0.290000,9.540000
13,4460,0.050000,-0.300000,9.480000
14,4583,0.080000,-0.300000,9.570000
15,4707,0.060000,-0.310000,9.540000
16,4830,0.080000,-0.290000,9.560000
17,4942,0.070000,-0.300000,9.570000
18,5077,0.040000,-0.320000,9.540000
19,5200,0.070000,-0.310000,9.560000
20,5323,0.080000,-0.310000,9.550000
21,5435,0.050000,-0.290000,9.580000
22,5558,0.050000,-0.300000,9.550000
23,5681,0.070000,-0.290000,9.550000
24,5804,0.060000,-0.310000,9.520000
25,5927,0.060000,-0.300000,9.580000
26,6051,0.060000,-0.310000,9.550000
27,6174,0.050000,-0.300000,9.580000
28,6297,0.060000,-0.290000,9.580000
29,6421,0.070000,-0.290000,9.570000
30,6544,0.070000,-0.300000,9.530000
31,6667,0.070000,-0.300000,9.580000
32,6779,0.070000,-0.300000,9.530000
33,6903,0.060000,-0.290000,9.530000
34,7026,0.070000,-0.300000,9.560000
35,7149,0.050000,-0.290000,9.540000
36,7272,0.060000,-0.310000,9.580000
37,7395,0.060000,-0.290000,9.530000
38,7518,0.070000,-0.300000,9.540000
39,7642,0.060000,-0.270000,9.590000
40,7765,0.060000,-0.310000,9.550000
41,7888,0.050000,-0.310000,9.600000
42,8012,0.060000,-0.290000,9.520000
43,8124,0.050000,-0.300000,9.550000
44,8247,0.050000,-0.290000,9.560000
45,8382,0.060000,-0.310000,9.550000
46,8505,0.070000,-0.300000,9.520000
47,8617,0.070000,-0.300000,9.540000
48,8740,0.050000,-0.290000,9.600000
49,8863,0.080000,-0.310000,9.540000
50,8987,0.070000,-0.290000,9.520000
51,9110,0.070000,-0.290000,9.580000
52,9234,0.060000,-0.300000,9.540000
53,9346,0.070000,-0.300000,9.570000
54,9480,0.050000,-0.310000,9.530000
55,9604,0.060000,-0.300000,9.540000
56,9727,0.050000,-0.300000,9.550000
57,9850,0.070000,-0.290000,9.600000
58,9962,0.060000,-0.290000,9.530000
59,10085,0.060000,-0.310000,9.570000
60,10208,0.070000,-0.300000,9.550000
61,10331,0.060000,-0.290000,9.550000
62,10454,0.060000,-0.290000,9.530000
63,10589,0.070000,-0.300000,9.530000
64,10712,0.070000,-0.290000,9.530000
65,10835,0.060000,-0.290000,9.560000
66,10958,0.060000,-0.300000,9.560000
67,11070,0.070000,-0.300000,9.570000
68,11193,0.070000,-0.300000,9.560000
69,11316,0.060000,-0.300000,9.550000
70,11439,0.050000,-0.290000,9.550000
71,11562,0.060000,-0.290000,9.550000
72,11696,0.060000,-0.290000,9.560000
73,11819,0.070000,-0.300000,9.520000
74,11942,0.070000,-0.300000,9.560000
75,12065,0.060000,-0.290000,9.590000
76,12188,0.050000,-0.290000,9.560000
77,12311,0.050000,-0.300000,9.560000
78,12423,0.070000,-0.310000,9.560000
79,12546,0.060000,-0.300000,9.570000
80,12669,0.060000,-0.300000,9.560000
81,12803,0.060000,-0.300000,9.570000
82,12926,0.070000,-0.290000,9.570000
83,13049,0.070000,-0.270000,9.540000
84,13172,0.070000,-0.300000,9.570000
85,13295,0.050000,-0.300000,9.570000
86,13418,0.050000,-0.300000,9.550000
87,13542,0.070000,-0.300000,9.540000
88,13665,0.060000,-0.310000,9.550000
89,13777,0.070000,-0.300000,9.590000
90,13911,0.060000,-0.290000,9.590000
91,14034,0.060000,-0.300000,9.560000
92,14157,0.060000,-0.300000,9.540000
93,14281,0.050000,-0.280000,9.560000
94,14404,0.070000,-0.310000,9.540000
95,14527,0.050000,-0.290000,9.560000
96,14650,0.060000,-0.300000,9.560000
97,14774,0.070000,-0.280000,9.530000
98,14897,0.050000,-0.290000,9.530000
99,15020,0.060000,-0.290000,9.540000
100,15144,0.050000,-0.300000,9.560000
101,15267,0.060000,-0.310000,9.550000
102,15391,0.070000,-0.300000,9.560000
103,15514,0.060000,-0.280000,9.520000
104,15637,0.070000,-0.290000,9.510000
105,15761,0.060000,-0.290000,9.570000
106,15884,0.050000,-0.290000,9.580000
107,16007,0.060000,-0.300000,9.520000
108,16130,0.060000,-0.290000,9.550000
109,16253,0.060000,-0.300000,9.540000
110,16377,0.080000,-0.290000,9.570000
111,16500,0.070000,-0.290000,9.540000
112,16623,0.060000,-0.300000,9.550000
113,16746,0.050000,-0.300000,9.560000
114,16869,0.060000,-0.300000,9.570000
115,16992,0.050000,-0.300000,9.550000
116,17115,0.050000,-0.300000,9.540000
117,17238,0.060000,-0.290000,9.580000
118,17361,0.060000,-0.290000,9.560000
119,17484,0.060000,-0.290000,9.560000
120,17607,0.070000,-0.290000,9.570000
121,17730,0.060000,-0.290000,9.520000
122,17853,0.060000,-0.300000,9.550000
123,17976,0.060000,-0.310000,9.530000
124,18099,0.060000,-0.300000,9.550000
125,18223,0.080000,-0.290000,9.560000
126,18357,0.050000,-0.310000,9.560000
127,18480,0.050000,-0.300000,9.580000
128,18592,0.060000,-0.300000,9.540000
129,18715,0.060000,-0.280000,9.530000
130,18838,0.060000,-0.290000,9.550000
131,18962,0.070000,-0.300000,9.560000
132,19085,0.070000,-0.290000,9.570000
133,19208,0.060000,-0.310000,9.560000
134,19331,0.060000,-0.300000,9.540000
135,19466,0.070000,-0.290000,9.560000
136,19589,0.060000,-0.290000,9.540000
137,19712,0.050000,-0.300000,9.540000
138,19836,0.060000,-0.300000,9.550000
139,19949,0.060000,-0.300000,9.530000
140,20072,0.060000,-0.290000,9.540000
141,20195,0.050000,-0.300000,9.570000
142,20318,0.060000,-0.290000,9.570000
143,20441,0.060000,-0.320000,9.550000
144,20575,0.070000,-0.270000,9.540000
145,20698,0.070000,-0.280000,9.570000
146,20821,0.060000,-0.320000,9.590000
147,20944,0.070000,-0.300000,9.550000
148,21067,0.070000,-0.300000,9.600000
149,21190,0.050000,-0.270000,9.600000
150,21303,0.080000,-0.310000,9.470000
151,21425,0.070000,-0.280000,9.650000
152,21548,0.060000,-0.320000,9.570000
153,21683,0.050000,-0.280000,9.580000
154,21806,0.080000,-0.300000,9.540000
155,21929,0.060000,-0.290000,9.570000
156,22052,0.060000,-0.280000,9.530000
157,22175,0.060000,-0.300000,9.570000
158,22298,0.060000,-0.290000,9.530000
159,22422,0.070000,-0.300000,9.520000
160,22545,0.070000,-0.300000,9.570000
161,22657,0.070000,-0.300000,9.550000
162,22791,0.060000,-0.310000,9.580000
163,22914,0.060000,-0.280000,9.560000
164,23037,0.050000,-0.300000,9.510000
165,23160,0.060000,-0.290000,9.530000
166,23283,0.070000,-0.310000,9.550000
167,23406,0.060000,-0.310000,9.560000
168,23529,0.060000,-0.300000,9.530000
169,23652,0.070000,-0.280000,9.560000
170,23775,0.060000,-0.300000,9.560000
171,23898,0.060000,-0.310000,9.580000
172,24021,0.060000,-0.310000,9.540000
173,24144,0.060000,-0.310000,9.570000
174,24267,0.060000,-0.300000,9.570000
175,24390,0.060000,-0.300000,9.590000
176,24513,0.060000,-0.310000,9.570000
177,24637,0.070000,-0.300000,9.530000
178,24760,0.050000,-0.280000,9.530000
179,24883,0.060000,-0.300000,9.540000
180,25006,0.050000,-0.300000,9.560000
181,25129,0.060000,-0.290000,9.530000
182,25252,0.050000,-0.300000,9.540000
183,25375,0.060000,-0.290000,9.530000
184,25498,0.070000,-0.300000,9.540000
185,25621,0.070000,-0.300000,9.580000
186,25745,0.060000,-0.290000,9.580000
187,25867,0.050000,-0.290000,9.550000
188,25991,0.060000,-0.290000,9.530000
189,26114,0.050000,-0.270000,9.540000
190,26237,0.070000,-0.310000,9.560000
191,26360,0.070000,-0.300000,9.530000
192,26483,0.060000,-0.300000,9.550000
193,26606,0.060000,-0.300000,9.540000
194,26729,0.060000,-0.300000,9.550000
195,26852,0.060000,-0.300000,9.590000
196,26975,0.060000,-0.300000,9.510000
197,27098,0.070000,-0.300000,9.530000
198,27232,0.050000,-0.280000,9.550000
199,27355,0.060000,-0.300000,9.560000
200,27468,0.050000,-0.280000,9.570000
201,27590,0.060000,-0.310000,9.560000
202,27713,0.070000,-0.290000,9.530000
203,27836,0.060000,-0.290000,9.550000
204,27959,0.060000,-0.310000,9.580000
205,28082,0.060000,-0.310000,9.560000
206,28206,0.060000,-0.290000,9.560000
207,28340,0.060000,-0.300000,9.630000
208,28463,0.040000,-0.310000,9.590000
209,28586,0.070000,-0.290000,9.610000
210,28709,0.060000,-0.300000,9.520000
211,28821,0.070000,-0.300000,9.570000
212,28944,0.060000,-0.290000,9.630000
213,29067,0.070000,-0.280000,9.590000
214,29190,0.040000,-0.330000,9.600000
215,29313,0.050000,-0.320000,9.550000
216,29447,0.080000,-0.310000,9.530000
217,29570,0.070000,-0.290000,9.550000
218,29693,0.050000,-0.300000,9.540000
219,29816,0.060000,-0.300000,9.570000
220,29939,0.080000,-0.300000,9.530000
221,30062,0.060000,-0.310000,9.560000
222,30174,0.040000,-0.290000,9.520000
223,30297,0.070000,-0.290000,9.510000
224,30420,0.070000,-0.270000,9.600000
225,30554,0.070000,-0.300000,9.570000
226,30677,0.060000,-0.300000,9.560000
227,30800,0.070000,-0.300000,9.560000
228,30923,0.060000,-0.290000,9.560000
229,31046,0.070000,-0.300000,9.560000
230,31169,0.060000,-0.310000,9.560000
231,31292,0.070000,-0.310000,9.550000
232,31415,0.060000,-0.300000,9.520000
233,31528,0.070000,-0.300000,9.580000
234,31662,0.060000,-0.280000,9.550000
235,31785,0.070000,-0.300000,9.580000
