timestamp(ms),temperature,OrientX(deg),OrientY(deg),OrientZ(deg),GyroX(rad/s),GyroY(rad/s),GyroZ(rad/s),LinearX(m/s^2),LinearY(m/s^2),LinearZ(m/s^2),MagX(uT),MagY(uT),MagZ(uT),AcclX(m/s^2),AcclY(m/s^2),AcclZ(m/s^2),GravityX(m/s^2),GravityY(m/s^2),GravityZ(m/s^2),
"1678299187,438",,,,,,,"0",,,,,,,,,,,,,
"1678299187,439",,,,,,,,"0","0","0",,,,,,,,,,
"1678299187,453",,,,,,,,,,,"0","0","0","0,03","-0,29","9,47",,,,
"1678299187,454",,,,,,,,,,,,,,,,,"0","0",,
"1678299187,456",,,,,,,,,,,,,,,,,,,"0",
"1678299187,461","24",,,,,,,,,,,,,,,,,,,
"1678299187,495",,"0","0",,,,,,,,,,,,,,,,,
"1678299187,502",,,,"0","0",,,,,,,,,,,,,,,
"1678299187,505",,,,,,"0",,,,,,,,,,,,,,
"1678299187,508",,,,,,,"0",,,,,,,,,,,,,
"1678299187,512",,,,,,,,"0",,,,,,,,,,,,
"1678299187,517",,,,,,,,,"0",,,,,,,,,,,
"1678299187,521",,,,,,,,,,"0",,,,,,,,,,
"1678299187,525",,,,,,,,,,,"0",,,,,,,,,
"1678299187,528",,,,,,,,,,,,"0",,,,,,,,
"1678299187,532",,,,,,,,,,,,,"0",,,,,,,
"1678299187,536",,,,,,,,,,,,,,"0,02",,,,,,
"1678299187,54",,,,,,,,,,,,,,,"-0,32",,,,,
"1678299187,544",,,,,,,,,,,,,,,,"9,6",,,,
"1678299187,549",,,,,,,,,,,,,,,,,"0",,,
"1678299187,554",,,,,,,,,,,,,,,,,,"0",,
"1678299187,558",,,,,,,,,,,,,,,,,,,"0",
"1678299187,561","24",,,,,,,,,,,,,,,,,,,
"1678299187,591",,"0",,,,,,,,,,,,,,,,,,
"1678299187,596",,,"0",,,,,,,,,,,,,,,,,
"1678299187,599",,,,"0",,,,,,,,,,,,,,,,
"1678299187,603",,,,,"0",,,,,,,,,,,,,,,
"1678299187,607",,,,,,"0",,,,,,,,,,,,,,
"1678299187,612",,,,,,,"0",,,,,,,,,,,,,
"1678299187,616",,,,,,,,"0",,,,,,,,,,,,
"1678299187,62",,,,,,,,,"0",,,,,,,,,,,
"1678299187,625",,,,,,,,,,"0",,,,,,,,,,
"1678299187,628",,,,,,,,,,,"0",,,,,,,,,
"1678299187,632",,,,,,,,,,,,"0",,,,,,,,
"1678299187,635",,,,,,,,,,,,,"0",,,,,,,
"1678299187,639",,,,,,,,,,,,,,"0,04",,,,,,
"1678299187,643",,,,,,,,,,,,,,,"-0,33",,,,,
"1678299187,647",,,,,,,,,,,,,,,,"9,48",,,,
"1678299187,652",,,,,,,,,,,,,,,,,"0",,,
"1678299187,657",,,,,,,,,,,,,,,,,,"0",,
"1678299187,661",,,,,,,,,,,,,,,,,,,"0",
"1678299187,665","24",,,,,,,,,,,,,,,,,,,
"1678299187,694",,"0",,,,,,,,,,,,,,,,,,
"1678299187,698",,,"0",,,,,,,,,,,,,,,,,
"1678299187,702",,,,"0",,,,,,,,,,,,,,,,
"1678299187,706",,,,,"0",,,,,,,,,,,,,,,
"1678299187,71",,,,,,"0",,,,,,,,,,,,,,
"1678299187,714",,,,,,,"0",,,,,,,,,,,,,
"1678299187,72",,,,,,,,"0",,,,,,,,,,,,
"1678299187,723",,,,,,,,,"0",,,,,,,,,,,
"1678299187,728",,,,,,,,,,"0",,,,,,,,,,
"1678299187,731",,,,,,,,,,,"0",,,,,,,,,
"1678299187,735",,,,,,,,,,,,"0",,,,,,,,
"1678299187,738",,,,,,,,,,,,,"0",,,,,,,
"1678299187,742",,,,,,,,,,,,,,"0,05",,,,,,
"1678299187,747",,,,,,,,,,,,,,,"-0,33",,,,,
"1678299187,751",,,,,,,,,,,,,,,,"9,48",,,,
"1678299187,757",,,,,,,,,,,,,,,,,"0",,,
"1678299187,76",,,,,,,,,,,,,,,,,,"0",,
"1678299187,765",,,,,,,,,,,,,,,,,,,"0",
"1678299187,77","24",,,,,,,,,,,,,,,,,,,
"1678299187,797",,"0",,,,,,,,,,,,,,,,,,
"1678299187,801",,,"0",,,,,,,,,,,,,,,,,
"1678299187,805",,,,"0",,,,,,,,,,,,,,,,
"1678299187,809",,,,,"0",,,,,,,,,,,,,,,
"1678299187,814",,,,,,"0",,,,,,,,,,,,,,
"1678299187,819",,,,,,,"0",,,,,,,,,,,,,
"1678299187,822",,,,,,,,"0",,,,,,,,,,,,
"1678299187,827",,,,,,,,,"0",,,,,,,,,,,
"1678299187,831",,,,,,,,,,"0",,,,,,,,,,
"1678299187,835",,,,,,,,,,,"0",,,,,,,,,
"1678299187,838",,,,,,,,,,,,"0",,,,,,,,
"1678299187,841",,,,,,,,,,,,,"0",,,,,,,
"1678299187,846",,,,,,,,,,,,,,"0,03",,,,,,
"1678299187,85",,,,,,,,,,,,,,,"-0,31",,,,,
"1678299187,854",,,,,,,,,,,,,,,,"9,56",,,,
"1678299187,859",,,,,,,,,,,,,,,,,"0",,,
"1678299187,863",,,,,,,,,,,,,,,,,,"0",,
"1678299187,868",,,,,,,,,,,,,,,,,,,"0",
"1678299187,871","24",,,,,,,,,,,,,,,,,,,
"1678299187,9",,"0",,,,,,,,,,,,,,,,,,
"1678299187,904",,,"0",,,,,,,,,,,,,,,,,
"1678299187,908",,,,"0",,,,,,,,,,,,,,,,
"1678299187,912",,,,,"0",,,,,,,,,,,,,,,
"1678299187,917",,,,,,"0",,,,,,,,,,,,,,
"1678299187,921",,,,,,,"0",,,,,,,,,,,,,
"1678299187,925",,,,,,,,"0",,,,,,,,,,,,
"1678299187,93",,,,,,,,,"0",,,,,,,,,,,
"1678299187,934",,,,,,,,,,"0",,,,,,,,,,
"1678299187,939",,,,,,,,,,,"0",,,,,,,,,
"1678299187,941",,,,,,,,,,,,"0",,,,,,,,
"1678299187,944",,,,,,,,,,,,,"0",,,,,,,
"1678299187,949",,,,,,,,,,,,,,"0,07",,,,,,
"1678299187,953",,,,,,,,,,,,,,,"-0,35",,,,,
"1678299187,957",,,,,,,,,,,,,,,,"9,56",,,,
"1678299187,962",,,,,,,,,,,,,,,,,"0",,,
"1678299187,966",,,,,,,,,,,,,,,,,,"0",,
"1678299187,971",,,,,,,,,,,,,,,,,,,"0",
"1678299187,974","24",,,,,,,,,,,,,,,,,,,
"1678299188,003",,"0",,,,,,,,,,,,,,,,,,
"1678299188,007",,,"0",,,,,,,,,,,,,,,,,
"1678299188,011",,,,"0",,,,,,,,,,,,,,,,
"1678299188,015",,,,,"0",,,,,,,,,,,,,,,
"1678299188,02",,,,,,"0",,,,,,,,,,,,,,
"1678299188,024",,,,,,,"0",,,,,,,,,,,,,
"1678299188,028",,,,,,,,"0",,,,,,,,,,,,
"1678299188,034",,,,,,,,,"0",,,,,,,,,,,
"1678299188,037",,,,,,,,,,"0",,,,,,,,,,
"1678299188,041",,,,,,,,,,,"0",,,,,,,,,
"1678299188,044",,,,,,,,,,,,"0",,,,,,,,
"1678299188,047",,,,,,,,,,,,,"0",,,,,,,
"1678299188,052",,,,,,,,,,,,,,"0,03",,,,,,
"1678299188,056",,,,,,,,,,,,,,,"-0,29",,,,,
"1678299188,06",,,,,,,,,,,,,,,,"9,59",,,,
"1678299188,066",,,,,,,,,,,,,,,,,"0",,,
"1678299188,069",,,,,,,,,,,,,,,,,,"0",,
"1678299188,074",,,,,,,,,,,,,,,,,,,"0",
"1678299188,077","24",,,,,,,,,,,,,,,,,,,
"1678299188,106",,"0",,,,,,,,,,,,,,,,,,
"1678299188,11",,,"0",,,,,,,,,,,,,,,,,
"1678299188,114",,,,"0",,,,,,,,,,,,,,,,
"1678299188,118",,,,,"0",,,,,,,,,,,,,,,
"1678299188,123",,,,,,"0",,,,,,,,,,,,,,
"1678299188,127",,,,,,,"0",,,,,,,,,,,,,
"1678299188,131",,,,,,,,"0",,,,,,,,,,,,
"1678299188,136",,,,,,,,,"0",,,,,,,,,,,
"1678299188,14",,,,,,,,,,"0",,,,,,,,,,
"1678299188,144",,,,,,,,,,,"0",,,,,,,,,
"1678299188,147",,,,,,,,,,,,"0",,,,,,,,
"1678299188,15",,,,,,,,,,,,,"0",,,,,,,
"1678299188,155",,,,,,,,,,,,,,"0,05",,,,,,
"1678299188,159",,,,,,,,,,,,,,,"-0,32",,,,,
"1678299188,163",,,,,,,,,,,,,,,,"9,53",,,,
"1678299188,168",,,,,,,,,,,,,,,,,"0",,,
"1678299188,172",,,,,,,,,,,,,,,,,,"0",,
"1678299188,177",,,,,,,,,,,,,,,,,,,"0",
"1678299188,18","24",,,,,,,,,,,,,,,,,,,
"1678299188,209",,"0",,,,,,,,,,,,,,,,,,
"1678299188,214",,,"0",,,,,,,,,,,,,,,,,
"1678299188,218",,,,"0",,,,,,,,,,,,,,,,
"1678299188,222",,,,,"0",,,,,,,,,,,,,,,
"1678299188,226",,,,,,"0",,,,,,,,,,,,,,
"1678299188,23",,,,,,,"0",,,,,,,,,,,,,
"1678299188,234",,,,,,,,"0",,,,,,,,,,,,
"1678299188,239",,,,,,,,,"0",,,,,,,,,,,
"1678299188,243",,,,,,,,,,"0",,,,,,,,,,
"1678299188,247",,,,,,,,,,,"0",,,,,,,,,
"1678299188,25",,,,,,,,,,,,"0",,,,,,,,
"1678299188,254",,,,,,,,,,,,,"0",,,,,,,
"1678299188,258",,,,,,,,,,,,,,"0,02",,,,,,
"1678299188,262",,,,,,,,,,,,,,,"-0,31",,,,,
"1678299188,266",,,,,,,,,,,,,,,,"9,56",,,,
"1678299188,271",,,,,,,,,,,,,,,,,"0",,,
"1678299188,276",,,,,,,,,,,,,,,,,,"0",,
"1678299188,28",,,,,,,,,,,,,,,,,,,"0",
"1678299188,283","24",,,,,,,,,,,,,,,,,,,
"1678299188,32",,"0",,,,,,,,,,,,,,,,,,
"1678299188,324",,,"0",,,,,,,,,,,,,,,,,
"1678299188,329",,,,"0",,,,,,,,,,,,,,,,
"1678299188,333",,,,,"0",,,,,,,,,,,,,,,
"1678299188,337",,,,,,"0",,,,,,,,,,,,,,
"1678299188,341",,,,,,,"0",,,,,,,,,,,,,
"1678299188,345",,,,,,,,"0",,,,,,,,,,,,
"1678299188,35",,,,,,,,,"0",,,,,,,,,,,
"1678299188,354",,,,,,,,,,"0",,,,,,,,,,
"1678299188,358",,,,,,,,,,,"0",,,,,,,,,
"1678299188,361",,,,,,,,,,,,"0",,,,,,,,
"1678299188,365",,,,,,,,,,,,,"0",,,,,,,
"1678299188,369",,,,,,,,,,,,,,"0,05",,,,,,
"1678299188,373",,,,,,,,,,,,,,,"-0,32",,,,,
"1678299188,378",,,,,,,,,,,,,,,,"9,52",,,,
"1678299188,382",,,,,,,,,,,,,,,,,"0",,,
"1678299188,386",,,,,,,,,,,,,,,,,,"0",,
"1678299188,391",,,,,,,,,,,,,,,,,,,"0",
"1678299188,394","24",,,,,,,,,,,,,,,,,,,
"1678299188,424",,"0",,,,,,,,,,,,,,,,,,
"1678299188,428",,,"0",,,,,,,,,,,,,,,,,
"1678299188,433",,,,"0",,,,,,,,,,,,,,,,
"1678299188,436",,,,,"0",,,,,,,,,,,,,,,
"1678299188,441",,,,,,"0",,,,,,,,,,,,,,
"1678299188,444",,,,,,,"0",,,,,,,,,,,,,
"1678299188,449",,,,,,,,"0",,,,,,,,,,,,
"1678299188,453",,,,,,,,,"0",,,,,,,,,,,
"1678299188,458",,,,,,,,,,"0",,,,,,,,,,
"1678299188,461",,,,,,,,,,,"0",,,,,,,,,
"1678299188,464",,,,,,,,,,,,"0",,,,,,,,
"1678299188,468",,,,,,,,,,,,,"0",,,,,,,
"1678299188,472",,,,,,,,,,,,,,"0,04",,,,,,
