timestamp(ms),temperature,OrientX(deg),OrientY(deg),OrientZ(deg),GyroX(rad/s),GyroY(rad/s),GyroZ(rad/s),LinearX(m/s^2),LinearY(m/s^2),LinearZ(m/s^2),MagX(uT),MagY(uT),MagZ(uT),AcclX(m/s^2),AcclY(m/s^2),AcclZ(m/s^2),GravityX(m/s^2),GravityY(m/s^2),GravityZ(m/s^2),
"1678298651,224","0",,,,,,,,,,,,,,,,,,,
"1678298651,247",,"0",,,,,,,,,,,,,,,,,,
"1678298651,251",,,"0",,,,,,,,,,,,,,,,,
"1678298651,255",,,,"0",,,,,,,,,,,,,,,,
"1678298651,259",,,,,"0",,,,,,,,,,,,,,,
"1678298651,264",,,,,,"0",,,,,,,,,,,,,,
"1678298651,268",,,,,,,"0",,,,,,,,,,,,,
"1678298651,272",,,,,,,,"0",,,,,,,,,,,,
"1678298651,277",,,,,,,,,"0",,,,,,,,,,,
"1678298651,281",,,,,,,,,,"0",,,,,,,,,,
"1678298651,285",,,,,,,,,,,"0",,,,,,,,,
"1678298651,288",,,,,,,,,,,,"0",,,,,,,,
"1678298651,291",,,,,,,,,,,,,"0",,,,,,,
"1678298651,296",,,,,,,,,,,,,,"0",,,,,,
"1678298651,3",,,,,,,,,,,,,,,"0",,,,,
"1678298651,304",,,,,,,,,,,,,,,,"0",,,,
"1678298651,308",,,,,,,,,,,,,,,,,"0",,,
"1678298651,313",,,,,,,,,,,,,,,,,,"0",,
"1678298651,318",,,,,,,,,,,,,,,,,,,"0",
"1678298651,321","0",,,,,,,,,,,,,,,,,,,
"1678298651,35",,"0",,,,,,,,,,,,,,,,,,
"1678298651,354",,,"0",,,,,,,,,,,,,,,,,
"1678298651,358",,,,"0",,,,,,,,,,,,,,,,
"1678298651,362",,,,,"0",,,,,,,,,,,,,,,
"1678298651,366",,,,,,"0",,,,,,,,,,,,,,
"1678298651,37",,,,,,,"0",,,,,,,,,,,,,
"1678298651,375",,,,,,,,"0",,,,,,,,,,,,
"1678298651,379",,,,,,,,,"0",,,,,,,,,,,
"1678298651,384",,,,,,,,,,"0",,,,,,,,,,
"1678298651,387",,,,,,,,,,,"0",,,,,,,,,
"1678298651,391",,,,,,,,,,,,"0",,,,,,,,
"1678298651,394",,,,,,,,,,,,,"0",,,,,,,
"1678298651,398",,,,,,,,,,,,,,"0,04",,,,,,
"1678298651,402",,,,,,,,,,,,,,,"-0,32",,,,,
"1678298651,407",,,,,,,,,,,,,,,,"9,59",,,,
"1678298651,411",,,,,,,,,,,,,,,,,"0",,,
"1678298651,416",,,,,,,,,,,,,,,,,,"0",,
"1678298651,421",,,,,,,,,,,,,,,,,,,"0",
"1678298651,424","24",,,,,,,,,,,,,,,,,,,
"1678298651,453",,"0",,,,,,,,,,,,,,,,,,
"1678298651,457",,,"0",,,,,,,,,,,,,,,,,
"1678298651,461",,,,"0",,,,,,,,,,,,,,,,
"1678298651,465",,,,,"0",,,,,,,,,,,,,,,
"1678298651,47",,,,,,"0",,,,,,,,,,,,,,
"1678298651,474",,,,,,,"0",,,,,,,,,,,,,
"1678298651,478",,,,,,,,"0",,,,,,,,,,,,
"1678298651,483",,,,,,,,,"0",,,,,,,,,,,
"1678298651,487",,,,,,,,,,"0",,,,,,,,,,
"1678298651,49",,,,,,,,,,,"0",,,,,,,,,
"1678298651,494",,,,,,,,,,,,"0",,,,,,,,
"1678298651,497",,,,,,,,,,,,,"0",,,,,,,
"1678298651,501",,,,,,,,,,,,,,"0,08",,,,,,
"1678298651,506",,,,,,,,,,,,,,,"-0,31",,,,,
"1678298651,51",,,,,,,,,,,,,,,,"9,56",,,,
"1678298651,515",,,,,,,,,,,,,,,,,"0",,,
"1678298651,519",,,,,,,,,,,,,,,,,,"0",,
"1678298651,524",,,,,,,,,,,,,,,,,,,"0",
"1678298651,527","24",,,,,,,,,,,,,,,,,,,
"1678298651,556",,"0",,,,,,,,,,,,,,,,,,
"1678298651,56",,,"0",,,,,,,,,,,,,,,,,
"1678298651,565",,,,"0",,,,,,,,,,,,,,,,
"1678298651,569",,,,,"0",,,,,,,,,,,,,,,
"1678298651,573",,,,,,"0",,,,,,,,,,,,,,
"1678298651,577",,,,,,,"0",,,,,,,,,,,,,
"1678298651,581",,,,,,,,"0",,,,,,,,,,,,
"1678298651,586",,,,,,,,,"0",,,,,,,,,,,
"1678298651,59",,,,,,,,,,"0",,,,,,,,,,
"1678298651,594",,,,,,,,,,,"0",,,,,,,,,
"1678298651,597",,,,,,,,,,,,"0",,,,,,,,
"1678298651,601",,,,,,,,,,,,,"0",,,,,,,
"1678298651,605",,,,,,,,,,,,,,"0,04",,,,,,
"1678298651,609",,,,,,,,,,,,,,,"-0,28",,,,,
"1678298651,613",,,,,,,,,,,,,,,,"9,51",,,,
"1678298651,618",,,,,,,,,,,,,,,,,"0",,,
"1678298651,622",,,,,,,,,,,,,,,,,,"0",,
"1678298651,627",,,,,,,,,,,,,,,,,,,"0",
"1678298651,63","24",,,,,,,,,,,,,,,,,,,
